"","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_RESULT","CLOSE_DEF_DIST","MINUTES_REMAINING","SECONDS_REMAINING","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"363",4,"2",574,15.9,7,7.5,"missed",1.8,9,31,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-7,17,"F",81,225,27,5
"364",19,"4",528,12,2,5.2,"made",8.3,8,45,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",15,-76,135,"F",81,225,30,5
"365",11,"2",378,15.7,4,8,"missed",1.9,6,16,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,20,26,"F",81,225,30,5
"366",1,"1",576,13,9,8.1,"made",4.6,9,33,"Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",19,166,99,"F",81,225,30,5
"367",14,"3",517,9,2,2.4,"missed",6.8,8,34,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,147,197,"F",81,225,30,5
"368",4,"1",278,13.9,3,2.3,"missed",3.1,4,38,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",10,95,36,"F",81,225,30,5
"369",25,"4",187,11.9,15,12.5,"missed",5.2,3,4,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-101,236,"F",81,225,30,5
"370",12,"2",338,2.8,4,7.2,"made",3.5,5,36,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-23,7,"F",81,225,30,5
"371",24,"4",341,3.4,14,12.2,"missed",5,5,38,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",22,-75,211,"F",81,225,30,5
"372",10,"1",86,2.9,17,15.1,"missed",3.3,1,23,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-29,1,"F",81,225,30,5
"373",20,"4",490,2.3,5,6.9,"missed",4.3,8,6,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",21,176,129,"F",81,225,30,5
"374",8,"2",183,6.3,2,1.9,"missed",4.6,3,0,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-30,250,"F",80,212,28,5
"375",10,"2",47,16.5,5,5.5,"missed",5.6,0,44,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",27,-204,189,"F",80,212,28,5
"376",1,"1",687,12.7,0,3.9,"missed",3.8,11,24,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",19,143,135,"F",80,212,28,5
"377",14,"3",398,10.8,3,3,"made",4.1,6,35,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-131,131,"F",80,212,28,5
"378",15,"3",303,16.2,2,2.4,"missed",4.7,5,0,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",19,-15,194,"F",80,212,28,5
"379",10,"3",544,18.8,6,5.4,"missed",3.3,9,0,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-150,194,"G",76,200,27,5
"380",22,"4",386,11.3,5,6.6,"made",4.1,6,24,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,118,235,"F",80,230,28,5
"381",7,"1",73,11.5,13,11.7,"made",3.2,1,11,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-4,1,"F",82,231,28,4
"382",18,"4",424,17.9,7,6.8,"missed",1.2,7,3,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-68,42,"F",82,231,28,4
"383",13,"2",581,12.4,2,2.2,"missed",5.1,9,38,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",16,118,118,"F",82,231,28,4
"384",19,"4",357,12.9,0,1.1,"made",4,5,53,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-172,184,"F",82,231,28,4
"385",23,"3",312,8,4,10.4,"missed",4.3,5,9,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,133,66,"F",82,231,28,4
"386",21,"3",362,1.2,4,5.1,"made",4.9,5,57,"Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",17,125,119,"F",82,231,28,4
"387",35,"5",45,24,0,1.2,"made",12.8,0,43,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,17,244,"G",73,210,26,2
"388",22,"3",213,19.7,4,3.2,"made",4.5,3,30,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,2,0,"G",76,205,28,5
"389",9,"2",560,10.8,0,0.9,"made",3.6,9,19,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,0,"G",76,205,28,5
"390",3,"1",112,16.1,7,7.6,"made",4.6,1,51,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",8,0,85,"F",79,209,27,5
"391",4,"1",367,20.2,1,1.7,"made",4,6,4,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,2,9,"G-F",78,215,28,5
"392",2,"1",457,3.8,3,5.9,"made",3.1,7,35,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-149,9,"G",78,195,29,4
"393",7,"2",401,7,2,9.2,"made",1.3,6,39,"Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",9,-89,19,"G",77,220,28,5
"394",6,"2",421,10.2,0,2.1,"missed",4.5,6,58,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,182,164,"G",77,220,28,5
"395",8,"2",112,10.3,0,1.2,"missed",4.1,1,50,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-92,230,"G",77,220,28,5
"396",10,"3",385,16.4,7,6.6,"missed",2.1,6,22,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-57,11,"G",77,220,28,5
"397",12,"4",381,9.9,2,3.5,"missed",3.1,6,19,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",13,-70,112,"G",77,220,28,5
"398",20,"3",20,12.7,11,12.6,"missed",2.8,0,18,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-19,1,"G",76,195,24,4
"399",21,"3",13,5.8,2,5.5,"missed",3.4,0,11,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-130,15,"G",76,195,24,4
"400",13,"2",17,10,15,13.7,"missed",10.9,0,14,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,91,246,"G",76,195,24,4
